identifier,brand,platform,category,title,url,image,rating,reviews
B074ZJSSNB,Frida,Amazon,,"DermaFrida The SkinSoother Baby Bath Silicone Brush by Fridababy | Baby Essential for Dry Skin, Cradle Cap and Eczema (2 Pack)",https://www.amazon.com/dp/B074ZJSSNB,https://m.media-amazon.com/images/I/61EPr7YTa7L._AC_UL320_.jpg,4.8,11476
B07THFQS6Y,Frida,Amazon,,"FridaBaby Frida Mom Disposable Postpartum Underwear (Without pad) | Super Soft, Stretchy, Breathable, Wicking, Latex-Free, Boyshort Cut | Regular (8 Count), 28 - 42 Inch",https://www.amazon.com/dp/B07THFQS6Y,https://m.media-amazon.com/images/I/615B6nBmTtS._AC_UL320_.jpg,4.7,11045
B07THS54DF,Frida,Amazon,,"Frida Mom Disposable Postpartum Underwear (Without pad) | Super Soft, Stretchy, Breathable, Wicking, Latex-Free, Boyshort Cut | Petite (8 Count)",https://www.amazon.com/dp/B07THS54DF,https://m.media-amazon.com/images/I/811gzQjjC6L._AC_SX352_SY330_.jpg,4.7,11045
B07TQ7MDH3,Frida,Amazon,,"Frida Mom Disposable High Waist C-Section Postpartum Underwear by Frida Mom |Super Soft, Stretchy, Breathable, Wicking, Latex-Free - Size - Petite, 8 Count",https://www.amazon.com/dp/B07TQ7MDH3,https://m.media-amazon.com/images/I/61DdvRMcSLS._AC_SX352_SY330_.jpg,4.7,11045
B07TXDBMD5,Frida,Amazon,,"Frida Mom Disposable High Waist C-Section Postpartum Underwear | Super Soft, Stretchy, Breathable, Wicking, Latex-Free, Regular (8 Count)",https://www.amazon.com/dp/B07TXDBMD5,https://m.media-amazon.com/images/I/61DdvRMcSLS._AC_SX352_SY330_.jpg,4.7,11045
B07THDP4KZ,Frida,Amazon,,Frida Mom 2-in-1 Postpartum Absorbent Postpartum Perineal Ice Maxi Pads | Instant Cold Therapy Packs and Absorbent Maternity Pad in One Ready-to-use Padsicle for After Birth,https://www.amazon.com/dp/B07THDP4KZ,https://m.media-amazon.com/images/I/71RMYKPU11L._AC_UL320_.jpg,4.6,10754
B07XTVKCHR,Frida,Amazon,,Frida Baby Breathefrida Vapor Bath Drops,https://www.amazon.com/dp/B07XTVKCHR,https://m.media-amazon.com/images/I/31gGb43phrS._AC_UL320_.jpg,4.7,10476
B07TYH9JYZ,Frida,Amazon,,Frida Mom Perineal Medicated Witch Hazel Full-Length Cooling Pad Liners for Postpartum Care | 24-Count,https://www.amazon.com/dp/B07TYH9JYZ,https://m.media-amazon.com/images/I/61qQ3pZP-JS._AC_UL320_.jpg,4.7,9856
B08L7B44Q6,Frida,Amazon,,"FridaBaby Thick or Curly Hair Detangling Kids Brush by Fridababy, Detangles Knots Without Tears or Breakage, Comb Teeth and Bristle Design",https://www.amazon.com/dp/B08L7B44Q6,https://m.media-amazon.com/images/I/71-7ozTnWwL._AC_SX352_SY330_.jpg,4.3,9509
B08L7G6WFY,Frida,Amazon,,"FridaBaby Fine or Straight Hair Detangling Kids Brush, Detangles Knots Without Tears or Breakage, Comb Teeth and Bristle Design",https://www.amazon.com/dp/B08L7G6WFY,https://m.media-amazon.com/images/I/712hBjPs-ML._AC_UL320_.jpg,4.3,9509
B0823DXJS9,Frida,Amazon,,FridaBaby Quick-Read Digital Rectal Thermometer,https://www.amazon.com/dp/B0823DXJS9,https://m.media-amazon.com/images/I/71NyrDXHXlL._AC_UL320_.jpg,4.8,8187
B07L51PWD2,Frida,Amazon,,"Frida Baby Fridababy 3-in-1 Humidifier with Diffuser and Nightlight, White",https://www.amazon.com/dp/B07L51PWD2,https://m.media-amazon.com/images/I/61b-KGjhnOL._AC_SX352_SY330_.jpg,4.6,7255
B08GNSFTT8,Frida,Amazon,,"FridaBaby Triple-Angle Toothhugger Training Toothbrush for Toddler Oral Care , Blue",https://www.amazon.com/dp/B08GNSFTT8,https://m.media-amazon.com/images/I/71re9f-lxjL._AC_SX352_SY330_.jpg,4.6,6805
B08GNWVYVP,Frida,Amazon,,FridaBaby Triple-Angle Toothhugger Training Toothbrush for Toddler Oral Care,https://www.amazon.com/dp/B08GNWVYVP,https://m.media-amazon.com/images/I/713-lQl5gTL._AC_SX352_SY330_.jpg,4.6,6805
B08GNX18JS,Frida,Amazon,,FridaBaby Triple-Angle Toothhugger Training Toothbrush for Toddler Oral Care,https://www.amazon.com/dp/B08GNX18JS,https://m.media-amazon.com/images/I/71kbwgrf8RL._AC_SX352_SY330_.jpg,4.6,6805
B09CRRQYJ2,Frida,Amazon,,"FridaBaby Triple-Angle Toothhugger Training Toothbrush for Toddler Oral Care, Two Pack",https://www.amazon.com/dp/B09CRRQYJ2,https://m.media-amazon.com/images/I/615n-UGM4QL._AC_SX352_SY330_.jpg,4.6,6805
B09CRVGSVB,Frida,Amazon,,"FridaBaby Triple-Angle Toothhugger Training Toothbrush for Toddler Oral Care, Two Pack",https://www.amazon.com/dp/B09CRVGSVB,https://m.media-amazon.com/images/I/61vv4uwehdL._AC_SX352_SY330_.jpg,4.6,6805
B09CS3B3ZL,Frida,Amazon,,"FridaBaby Triple-Angle Toothhugger Training Toothbrush for Toddler Oral Care, Two Pack",https://www.amazon.com/dp/B09CS3B3ZL,https://m.media-amazon.com/images/I/61fRlp5ZP+L._AC_SX352_SY330_.jpg,4.6,6805
B076DC3S3K,Frida,Amazon,,Fridababy NailFrida The S-Curved Nail Files (5 Pack) White,https://www.amazon.com/dp/B076DC3S3K,https://m.media-amazon.com/images/I/61I-iJRM72L._AC_UL320_.jpg,4.2,6416
B094Z43BQF,Frida,Amazon,,FridaBaby Electric NoseFrida | USB Rechargeable Nasal Aspirator with Different Levels of Suction by Frida Baby,https://www.amazon.com/dp/B094Z43BQF,https://m.media-amazon.com/images/I/71AL5xD6DUS._AC_UL320_.jpg,3.9,6024
